"(774, -2025, 1252)",10
"(781, -2042, 1262)",9
"(784, -2042, 1259)",11
"(777, -2026, 1250)",9
"(774, -2034, 1261)",8
"(783, -2044, 1262)",10
"(771, -2031, 1261)",11
"(778, -2029, 1252)",10
"(776, -2039, 1264)",11
"(776, -2041, 1266)",10
"(777, -2036, 1260)",9
"(782, -2038, 1257)",11
"(774, -2031, 1258)",11
"(778, -2040, 1263)",7
"(778, -2033, 1256)",11
"(767, -2023, 1257)",9
"(781, -2028, 1248)",10
"(782, -2032, 1251)",11
"(774, -2024, 1251)",10
"(774, -2039, 1266)",11
"(767, -2026, 1260)",10
"(773, -2039, 1267)",10
"(768, -2026, 1259)",10
"(780, -2025, 1246)",10
"(784, -2031, 1248)",10
"(770, -2028, 1259)",10
"(768, -2030, 1263)",10
"(777, -2041, 1265)",10
"(774, -2041, 1268)",11
"(771, -2023, 1253)",11
"(775, -2031, 1257)",8
"(782, -2033, 1252)",11
"(782, -2043, 1262)",11
"(776, -2030, 1255)",9
"(785, -2032, 1248)",9
"(779, -2024, 1246)",11
"(778, -2031, 1254)",11
"(766, -2027, 1262)",11
"(772, -2025, 1254)",8
"(777, -2030, 1254)",10
"(774, -2037, 1264)",10
"(774, -2030, 1257)",10
"(779, -2037, 1259)",10
"(780, -2033, 1254)",10
"(775, -2029, 1255)",11
"(776, -2024, 1249)",10
"(770, -2023, 1254)",10
"(775, -2028, 1254)",11
"(779, -2036, 1258)",11
"(781, -2025, 1245)",10
"(780, -2039, 1260)",9
"(779, -2026, 1248)",11
"(774, -2038, 1265)",9
"(766, -2024, 1259)",10
"(771, -2026, 1256)",11
"(780, -2032, 1253)",9
"(783, -2043, 1261)",9
"(774, -2019, 1246)",11
"(768, -2021, 1254)",10
"(769, -2027, 1259)",9
"(780, -2027, 1248)",9
"(762, -2025, 1264)",11
"(780, -2041, 1262)",9
"(774, -2035, 1262)",9
"(764, -2020, 1257)",10
"(776, -2029, 1254)",10
"(778, -2032, 1255)",11
"(779, -2023, 1245)",10
"(760, -2022, 1263)",11
"(778, -2028, 1251)",10
"(776, -2040, 1265)",10
"(782, -2025, 1244)",11
"(771, -2030, 1260)",11
"(775, -2019, 1245)",11
"(772, -2024, 1253)",9
"(771, -2027, 1257)",10
"(778, -2034, 1257)",10
"(779, -2032, 1254)",10
"(784, -2032, 1249)",10
"(767, -2025, 1259)",10
"(768, -2022, 1255)",11
"(765, -2020, 1256)",10
"(766, -2026, 1261)",9
"(770, -2027, 1258)",11
"(778, -2023, 1246)",8
"(783, -2041, 1259)",10
"(778, -2035, 1258)",8
"(773, -2040, 1268)",9
"(780, -2040, 1261)",11
"(765, -2022, 1258)",8
"(760, -2034, 1275)",10
"(775, -2025, 1251)",9
"(779, -2025, 1247)",9
"(776, -2036, 1261)",10
"(762, -2022, 1261)",10
"(775, -2023, 1249)",11
"(771, -2021, 1251)",11
"(783, -2029, 1247)",11
"(777, -2035, 1259)",10
"(771, -2029, 1259)",5
"(780, -2044, 1265)",5
"(769, -2023, 1255)",5
"(780, -2029, 1250)",6
"(781, -2026, 1246)",3
"(778, -2024, 1247)",5
"(779, -2022, 1244)",6
"(774, -2032, 1259)",6
"(782, -2037, 1256)",7
"(783, -2039, 1257)",5
"(781, -2047, 1267)",7
"(767, -2037, 1271)",6
"(782, -2042, 1261)",5
"(776, -2026, 1251)",5
"(777, -2029, 1253)",4
"(761, -2020, 1260)",5
"(773, -2041, 1269)",4
"(781, -2030, 1250)",6
"(781, -2031, 1251)",6
"(772, -2022, 1251)",6
"(776, -2035, 1260)",4
"(774, -2028, 1255)",6
"(772, -2030, 1259)",4
"(784, -2047, 1264)",4
"(775, -2037, 1263)",3
"(775, -2039, 1265)",4
"(776, -2031, 1256)",4
"(774, -2023, 1250)",4
"(782, -2030, 1249)",3
"(780, -2037, 1258)",3
"(774, -2040, 1267)",4
"(772, -2023, 1252)",4
"(773, -2025, 1253)",4
"(770, -2039, 1270)",5
"(765, -2030, 1266)",6
"(776, -2038, 1263)",5
"(777, -2031, 1255)",4
"(780, -2030, 1251)",4
"(769, -2025, 1257)",6
"(783, -2030, 1248)",3
"(784, -2040, 1257)",6
"(766, -2017, 1252)",4
"(763, -2022, 1260)",4
"(787, -2041, 1255)",5
"(770, -2025, 1256)",4
"(782, -2039, 1258)",4
"(775, -2034, 1260)",4
"(786, -2042, 1257)",5
"(778, -2030, 1253)",5
"(762, -2026, 1265)",5
"(779, -2039, 1261)",4
"(777, -2024, 1248)",4
"(769, -2024, 1256)",3
"(764, -2024, 1261)",4
"(775, -2035, 1261)",5
"(776, -2037, 1262)",4
"(781, -2027, 1247)",4
"(785, -2036, 1252)",3
"(773, -2038, 1266)",5
"(783, -2025, 1243)",5
"(778, -2037, 1260)",5
"(782, -2024, 1243)",5
"(784, -2038, 1255)",3
"(764, -2019, 1256)",5
"(775, -2024, 1250)",5
"(772, -2032, 1261)",4
"(765, -2015, 1251)",5
"(784, -2039, 1256)",5
"(785, -2043, 1259)",2
"(787, -2039, 1253)",3
"(771, -2022, 1252)",3
"(783, -2036, 1254)",3
"(776, -2028, 1253)",4
"(781, -2040, 1260)",5
"(787, -2030, 1244)",1
"(766, -2031, 1266)",5
"(774, -2026, 1253)",4
"(780, -2036, 1257)",5
"(773, -2031, 1259)",5
"(768, -2029, 1262)",4
"(767, -2030, 1264)",4
"(784, -2037, 1254)",3
"(774, -2027, 1254)",5
"(770, -2031, 1262)",4
"(773, -2037, 1265)",3
"(773, -2035, 1263)",4
"(778, -2027, 1250)",4
"(764, -2032, 1269)",2
"(773, -2030, 1258)",4
"(763, -2029, 1267)",5
"(772, -2020, 1249)",5
"(775, -2033, 1259)",4
"(768, -2020, 1253)",4
"(775, -2020, 1246)",2
"(775, -2030, 1256)",5
"(760, -2026, 1267)",5
"(763, -2020, 1258)",4
"(765, -2018, 1254)",4
"(770, -2033, 1264)",4
"(771, -2019, 1249)",4
"(769, -2039, 1271)",3
"(781, -2036, 1256)",0
"(763, -2023, 1261)",3
"(769, -2033, 1265)",4
"(776, -2027, 1252)",3
"(784, -2035, 1252)",3
"(771, -2025, 1255)",3
"(769, -2021, 1253)",2
"(782, -2029, 1248)",3
"(780, -2026, 1247)",3
"(769, -2038, 1270)",3
"(780, -2042, 1263)",4
"(769, -2026, 1258)",4
"(782, -2028, 1247)",3
"(769, -2036, 1268)",3
"(774, -2036, 1263)",4
"(784, -2044, 1261)",4
"(777, -2023, 1247)",3
"(778, -2042, 1265)",3
"(779, -2035, 1257)",2
"(784, -2046, 1263)",2
"(765, -2021, 1257)",3
"(774, -2029, 1256)",3
"(767, -2017, 1251)",1
"(768, -2027, 1260)",3
"(767, -2031, 1265)",1
"(760, -2020, 1261)",2
"(766, -2023, 1258)",3
"(774, -2033, 1260)",4
"(758, -2025, 1268)",4
"(772, -2028, 1257)",3
"(763, -2021, 1259)",3
"(768, -2023, 1256)",4
"(775, -2021, 1247)",2
"(785, -2030, 1246)",4
"(768, -2035, 1268)",3
"(776, -2018, 1243)",4
"(766, -2022, 1257)",3
"(787, -2040, 1254)",4
