"(765, -2010, 1246)",26
"(780, -2026, 1247)",28
"(795, -2041, 1247)",21
"(791, -2030, 1240)",25
"(738, -2016, 1279)",22
"(770, -2041, 1272)",21
"(788, -2052, 1265)",18
"(771, -2025, 1255)",20
"(771, -2024, 1254)",22
"(791, -2026, 1236)",21
"(768, -2030, 1263)",19
"(765, -2039, 1275)",19
"(756, -2010, 1255)",19
"(796, -2047, 1252)",21
"(779, -2039, 1261)",22
"(785, -2021, 1237)",21
"(775, -2031, 1257)",22
"(776, -2041, 1266)",20
"(781, -2032, 1252)",21
"(749, -2021, 1273)",19
"(798, -2041, 1244)",17
"(775, -2028, 1254)",21
"(752, -2016, 1265)",19
"(765, -2041, 1277)",21
"(795, -2055, 1261)",20
"(755, -2020, 1266)",17
"(794, -2058, 1265)",21
"(776, -2028, 1253)",17
"(770, -2035, 1266)",15
"(791, -2045, 1255)",21
"(758, -2032, 1275)",16
"(781, -2019, 1239)",17
"(782, -2026, 1245)",21
"(785, -2044, 1260)",14
"(783, -2027, 1245)",19
"(783, -2026, 1244)",17
"(781, -2031, 1251)",17
"(756, -2027, 1272)",15
"(763, -2035, 1273)",16
"(801, -2047, 1247)",18
"(782, -2035, 1254)",18
"(797, -2058, 1262)",17
"(791, -2052, 1262)",14
"(781, -2025, 1245)",19
"(795, -2038, 1244)",16
"(767, -2024, 1258)",14
"(750, -2033, 1284)",17
"(790, -2034, 1245)",18
"(760, -2033, 1274)",15
"(795, -2044, 1250)",10
"(765, -2024, 1260)",15
"(776, -2022, 1247)",16
"(751, -2026, 1276)",14
"(800, -2045, 1246)",16
"(758, -2033, 1276)",12
"(745, -2013, 1269)",17
"(760, -2035, 1276)",13
"(775, -2050, 1276)",10
"(790, -2031, 1242)",13
"(767, -2032, 1266)",15
"(802, -2033, 1232)",16
"(745, -2020, 1276)",11
"(740, -2026, 1287)",8
"(788, -2031, 1244)",14
"(766, -2016, 1251)",15
"(757, -2016, 1260)",13
"(786, -2044, 1259)",14
"(759, -2025, 1267)",10
"(753, -2007, 1255)",11
"(783, -2055, 1273)",13
"(787, -2043, 1257)",12
"(766, -2017, 1252)",12
"(799, -2054, 1256)",14
"(743, -2019, 1277)",13
"(769, -2014, 1246)",14
"(754, -2009, 1256)",14
"(780, -2030, 1251)",15
"(758, -2013, 1256)",11
"(791, -2055, 1265)",11
"(766, -2028, 1263)",14
"(744, -2019, 1276)",16
"(761, -2026, 1266)",14
"(774, -2048, 1275)",12
"(777, -2018, 1242)",13
"(772, -2032, 1261)",13
"(786, -2045, 1260)",15
"(777, -2041, 1265)",14
"(781, -2038, 1258)",13
"(745, -2008, 1264)",16
"(783, -2034, 1252)",10
"(771, -2044, 1274)",10
"(769, -2013, 1245)",14
"(769, -2020, 1252)",12
"(765, -2036, 1272)",14
"(741, -2008, 1268)",11
"(789, -2053, 1265)",12
"(804, -2058, 1255)",11
"(754, -2038, 1285)",12
"(788, -2026, 1239)",12
"(792, -2021, 1230)",10
"(775, -2042, 1268)",9
"(755, -2031, 1277)",10
"(777, -2038, 1262)",10
"(761, -2031, 1271)",10
"(766, -2019, 1254)",7
"(778, -2044, 1267)",9
"(797, -2029, 1233)",10
"(781, -2053, 1273)",10
"(795, -2029, 1235)",9
"(753, -2032, 1280)",11
"(765, -2045, 1281)",11
"(777, -2019, 1243)",13
"(754, -2029, 1276)",11
"(768, -2010, 1243)",14
"(759, -2035, 1277)",12
"(774, -2010, 1237)",9
"(772, -2047, 1276)",12
"(757, -2024, 1268)",12
"(787, -2053, 1267)",12
"(784, -2020, 1237)",9
"(797, -2052, 1256)",11
"(792, -2040, 1249)",9
"(758, -2026, 1269)",9
"(789, -2055, 1267)",14
"(780, -2038, 1259)",10
"(773, -2020, 1248)",9
"(763, -2025, 1263)",12
"(774, -2024, 1251)",13
"(756, -2029, 1274)",9
"(788, -2050, 1263)",11
"(751, -2000, 1250)",11
"(773, -2028, 1256)",10
"(752, -2001, 1250)",9
"(782, -2042, 1261)",11
"(756, -2014, 1259)",12
"(763, -2041, 1279)",11
"(778, -2016, 1239)",12
"(773, -2040, 1268)",10
"(759, -2039, 1281)",12
"(771, -2049, 1279)",13
