"(781, -2042, 1262)",21
"(778, -2040, 1263)",18
"(768, -2026, 1259)",21
"(774, -2041, 1268)",23
"(766, -2027, 1262)",23
"(779, -2032, 1254)",20
"(775, -2023, 1249)",21
"(780, -2029, 1250)",16
"(772, -2030, 1259)",13
"(776, -2031, 1256)",15
"(782, -2030, 1249)",15
"(780, -2033, 1254)",16
"(784, -2040, 1257)",18
"(765, -2015, 1251)",13
"(774, -2026, 1253)",15
"(762, -2019, 1258)",14
"(766, -2031, 1266)",12
"(769, -2021, 1253)",12
"(786, -2039, 1254)",13
"(774, -2033, 1260)",14
"(765, -2021, 1257)",17
"(769, -2029, 1261)",13
"(774, -2021, 1248)",12
"(776, -2038, 1263)",12
"(780, -2043, 1264)",13
"(771, -2037, 1267)",12
"(772, -2031, 1260)",13
"(767, -2033, 1267)",10
"(785, -2029, 1245)",13
"(785, -2027, 1243)",12
"(770, -2028, 1259)",11
"(769, -2033, 1265)",9
"(765, -2018, 1254)",14
"(760, -2027, 1268)",14
"(770, -2030, 1261)",12
"(785, -2041, 1257)",9
"(777, -2029, 1253)",11
"(779, -2037, 1259)",10
"(784, -2042, 1259)",14
"(775, -2027, 1253)",9
"(781, -2033, 1253)",13
"(782, -2039, 1258)",9
"(767, -2018, 1252)",12
"(770, -2031, 1262)",13
"(778, -2022, 1245)",10
"(784, -2038, 1255)",14
"(784, -2023, 1240)",13
"(776, -2039, 1264)",12
"(773, -2033, 1261)",13
"(774, -2037, 1264)",11
"(778, -2044, 1267)",10
"(765, -2031, 1267)",12
"(776, -2037, 1262)",12
"(778, -2039, 1262)",9
"(779, -2023, 1245)",8
"(762, -2029, 1268)",11
"(771, -2027, 1257)",12
"(763, -2033, 1271)",8
"(769, -2031, 1263)",11
"(775, -2024, 1250)",11
"(761, -2029, 1269)",11
"(766, -2029, 1264)",12
"(771, -2018, 1248)",12
"(783, -2031, 1249)",11
"(781, -2023, 1243)",10
"(778, -2032, 1255)",8
"(780, -2038, 1259)",7
"(781, -2021, 1241)",8
"(768, -2021, 1254)",8
"(777, -2040, 1264)",9
"(764, -2022, 1259)",11
"(761, -2027, 1267)",9
"(779, -2020, 1242)",9
"(764, -2025, 1262)",8
"(762, -2021, 1260)",10
"(776, -2043, 1268)",11
"(764, -2014, 1251)",7
"(764, -2021, 1258)",10
"(760, -2022, 1263)",9
"(768, -2032, 1265)",8
"(770, -2020, 1251)",10
"(769, -2035, 1267)",6
"(765, -2026, 1262)",9
"(776, -2021, 1246)",9
"(777, -2022, 1246)",9
"(773, -2019, 1247)",9
"(782, -2029, 1248)",11
"(787, -2033, 1247)",8
"(782, -2032, 1251)",9
"(769, -2034, 1266)",11
"(780, -2034, 1255)",9
"(760, -2030, 1271)",10
"(771, -2033, 1263)",7
"(773, -2020, 1248)",6
"(775, -2029, 1255)",7
"(767, -2024, 1258)",6
"(785, -2036, 1252)",9
"(777, -2020, 1244)",8
"(777, -2026, 1250)",6
"(770, -2029, 1260)",10
"(769, -2041, 1273)",7
"(766, -2032, 1267)",8
"(775, -2032, 1258)",8
"(769, -2023, 1255)",10
"(774, -2046, 1273)",7
"(762, -2017, 1256)",8
"(773, -2021, 1249)",7
"(768, -2039, 1272)",8
"(767, -2025, 1259)",10
"(788, -2034, 1247)",3
"(776, -2040, 1265)",8
"(776, -2023, 1248)",8
"(778, -2031, 1254)",6
"(774, -2030, 1257)",8
"(770, -2041, 1272)",8
"(761, -2031, 1271)",6
"(777, -2027, 1251)",7
"(773, -2032, 1260)",7
"(764, -2029, 1266)",8
"(772, -2024, 1253)",6
"(783, -2024, 1242)",8
"(758, -2018, 1261)",6
"(760, -2034, 1275)",6
"(771, -2035, 1265)",8
"(781, -2038, 1258)",6
"(782, -2027, 1246)",5
"(784, -2045, 1262)",8
"(763, -2024, 1262)",9
"(767, -2017, 1251)",7
"(778, -2023, 1246)",5
"(773, -2038, 1266)",7
"(781, -2047, 1267)",6
"(767, -2030, 1264)",5
"(765, -2038, 1274)",8
"(782, -2033, 1252)",7
